Source,HIP CENTRE ,,,FEMUR KNEE CENTRE ,,,MEDIAL EPICONDYLE,,,LATERAL EPICONDYLE,,,MEDIAL DISTAL CONDYLE,,,LATERAL DISTAL CONDYLE,,,MEDIAL POSTERIOR CONDYLE,,,LATERAL POSTERIOR CONDYLE,,,Medial Anterior Cortex,,,Lateral Anterior Cortex,,,Medial Posterior Proximal,,,Lateral Posterior Proximal,,,MA Length,TEA Length,AP Length
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,,
37_Femur_R,-63.25888968,-122.2023954,883.8600302,-54.3999054,-99.18671773,541.6777043,-24.17596786,-114.219349,556.7965143,-82.37900012,-82.37172071,558.1225356,-33.17478174,-100.0926051,534.9278502,-68.05764513,-88.99059094,537.3041679,-28.68962849,-82.40646143,553.3230514,-63.62525259,-68.69922333,553.5816782,-53.75378102,-127.7013937,552.1774596,-82.8136491,-116.0782922,549.0693899,-32.4520507,-93.25046713,570.1440513,-64.51968035,-77.76699035,568.7168973,343.0698867,66.35979752,51.77987069
38_Femur_R,-85.46062501,-740.0058057,951.5450294,-73.49243624,-481.9397412,566.7483016,-32.66091666,-509.7399863,574.2825834,-111.2912489,-473.3748868,597.3465256,-44.81801051,-478.4401906,558.2392557,-91.94358168,-467.0563175,568.518702,-38.75871984,-470.1735618,591.707801,-85.95556894,-454.3111875,601.2693949,-72.61954401,-522.3934953,559.7715294,-111.878445,-506.6953539,563.9863865,-43.84162526,-494.2230366,604.0629418,-87.16391065,-475.1437979,612.8520401,463.4758385,89.64984685,69.95285776
39_Femur_R,-30.11092274,-393.43207,159.9817865,-25.89408946,-246.8986739,88.03083958,-11.50764271,-256.7087377,85.43227007,-39.21200199,-249.6756975,98.87621236,-15.7910342,-244.3318219,86.05096237,-32.39510692,-242.6691445,91.19303538,-13.65612314,-247.7055038,97.71962588,-30.2853097,-244.5498267,103.4316291,-25.58653741,-258.0133469,78.77532579,-39.41889279,-253.9658566,82.82693258,-15.44701774,-257.2203683,97.25282486,-30.71105295,-252.9470317,103.2958243,163.2995916,31.58693974,24.64696573
40_Femur_R,-99.07859481,-1384.336814,-191.3982633,-85.20330048,-848.3972144,-155.3501914,-37.86536464,-872.0768972,-178.8948978,-129.025274,-874.1537647,-129.0138727,-51.95966567,-837.8253237,-156.7690282,-106.5945969,-841.5472073,-139.3806111,-44.93483985,-866.6366212,-129.068285,-99.65240701,-867.0416929,-107.5994623,-84.19131471,-864.8423497,-200.0110135,-129.7060386,-859.974367,-181.8064487,-50.82769549,-892.9823418,-146.052599,-101.0532954,-890.7470763,-121.8017605,537.3297328,103.9353603,81.09969766
41_Femur_R,-60.97836962,-678.9520262,-528.0133106,-52.43875692,-404.3895936,-343.876489,-23.30441005,-409.7654988,-363.7126839,-79.40918887,-426.222219,-337.7652435,-31.97881141,-398.3181689,-341.379469,-65.60412713,-405.6528201,-333.2567806,-27.65535056,-422.1988429,-335.4810152,-61.33152494,-429.0212879,-324.1628003,-51.8159257,-399.4114859,-372.7412904,-79.8281685,-402.4188956,-361.5402599,-31.28213525,-431.0145559,-352.6409384,-62.19370805,-437.2858052,-339.0274074,330.7020161,63.96748791,49.91317599
42_Femur_R,-69.38130215,-368.6285127,-906.5424385,-59.66491497,-202.8398243,-568.901579,-26.51580101,-196.8522251,-591.5058349,-90.3519225,-227.8296293,-575.3003705,-36.38555099,-198.2778101,-562.987063,-74.64449763,-210.1261258,-559.1559375,-31.46630921,-225.1646337,-570.7606688,-69.78312292,-238.3261773,-563.4893877,-58.95625645,-181.5133574,-594.5119029,-90.8286383,-190.8490313,-585.1857142,-35.59287155,-224.0890352,-592.6847292,-70.76411646,-238.0132572,-582.8381475,376.2733679,72.78232649,56.7913043
43_Femur_L,-22.15471556,42.7980846,-309.5480757,-19.05209587,34.73746584,-189.7079688,-8.466979017,40.00223846,-195.0029231,-28.85101723,28.84846781,-195.4673262,-11.61857025,35.05472838,-187.3440149,-23.8353499,31.16654814,-188.1762559,-10.0477666,28.86063481,-193.7864367,-22.28302427,24.06004532,-193.8770137,-18.82580828,44.72396003,-193.3852241,-29.00324128,40.65328304,-192.2967068,-11.36545324,32.65845458,-199.6775371,-22.5962734,27.23578552,-199.1777149,120.1509511,23.24072468,18.13449956
44_Femur_R,-71.69710955,620.8271624,-798.2977916,-61.65640904,404.3228846,-475.4729451,-27.40084477,427.6458736,-481.7938237,-93.36768676,397.1374082,-501.1432958,-37.60002702,401.38694,-468.3342892,-77.13597984,391.8364505,-476.9582208,-32.51659091,394.4516597,-496.4126933,-72.11234229,381.1439359,-504.4343834,-60.92409693,438.2615228,-469.6197888,-93.86031437,425.0915822,-473.1558391,-36.78088955,414.6279435,-506.7780268,-73.12607941,398.6214345,-514.1516324,388.8326111,75.2116532,58.68688306
45_Femur_R,-94.43475621,1233.89316,-501.7395559,-81.2098004,774.3308392,-276.0848927,-36.0906055,805.0974483,-267.9351831,-122.977827,783.040222,-310.0984679,-49.5243031,766.2806029,-269.8755439,-101.5984814,761.0660655,-286.0022636,-42.82873263,776.8612429,-306.4711476,-94.98167369,766.9643162,-324.3852991,-80.24524667,809.1890016,-247.0574798,-123.626684,796.4951442,-259.7642475,-48.44538865,806.702039,-305.0071526,-96.31690211,793.2998758,-323.9593842,512.1449533,99.06388387,77.29853448
