Source,"TIBIAL KNEE CENTRE ",,,MEDIAL PLATEAU,,,LATERAL PLATEAU,,,MEDIAL MALLEOLUS,,,LATERAL MALLEOLUS,,,TUBEROSITY,,,PCL,,,"ANKLE ",,,PCL OPP,,,Medial epicondyle,,,Lateral epicondyle,,,Plateau_Length,Knee_Centre_To_Ankle_Length
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,
38_Tibia_R,-415.2096263,813.3996517,-755.0934052,-390.9827611,814.879489,-762.381593,-435.8050247,826.4468994,-751.559704,-387.2388445,1007.390962,-1094.754317,-421.1778963,1057.41763,-1067.519712,-442.429356,813.1460049,-806.5449852,-403.0986658,840.6714345,-754.8558747,-404.2083704,1032.404296,-1081.137015,-430.5843018,799.6556393,-773.5640923,-379.2433664,809.4059628,-767.028774,-448.1366794,830.7654359,-750.3111121,47.53896906,392.9230171
39_Tibia_R,-333.9297691,870.1688458,-198.8333928,-314.4454629,874.1302859,-203.3145083,-350.4934906,877.8352173,-191.1256016,-311.4344412,1141.868025,-357.3975565,-338.7297133,1165.759746,-318.3119565,-355.821068,890.6819891,-234.771187,-324.1896041,889.0680054,-187.7013727,-325.0820772,1153.813886,-337.8547567,-346.2947566,868.02367,-217.2249128,-305.0041275,872.1867324,-208.752274,-360.4111475,880.3409727,-188.5193847,38.23292121,316.005902
40_Tibia_R,-432.2488534,1104.155655,340.2923664,-407.0277746,1111.496713,337.832897,-453.6894385,1107.761131,353.8946669,-403.1302164,1511.35819,338.3882533,-438.4620471,1512.844246,397.6666733,-460.5856167,1150.410573,313.2821713,-419.6408874,1118.136982,365.0032917,-420.7961318,1512.101218,368.0274633,-448.2544694,1113.654164,318.2869048,-394.8066227,1112.837376,330.4792119,-466.5271553,1108.883324,358.4380241,49.48985657,409.0476535
41_Tibia_R,-191.1582162,347.6371915,374.4807841,-180.0044181,350.9925978,375.1620859,-200.6401245,346.010312,380.487602,-178.2807576,504.0135609,463.7923763,-193.9059459,491.475031,486.8241368,-203.6898981,371.3249666,374.3640078,-185.5824552,347.5278349,387.0364308,-186.0933518,497.7442961,475.3082567,-198.2365577,356.1409047,368.153183,-174.5997222,353.1321118,372.6421311,-206.3174907,345.4354732,382.4758115,21.88644951,180.8976919
42_Tibia_R,-547.0480798,325.7314435,1425.521892,-515.1286365,333.072465,1432.011574,-574.1829832,313.1044399,1438.081041,-510.1959416,585.4933135,1870.623011,-554.9114105,521.4627765,1909.76274,-582.9106896,384.6052042,1459.126789,-531.0916151,307.4948238,1456.48274,-532.5536761,553.4780453,1890.192876,-567.3045626,355.8606702,1422.007637,-499.6617183,341.9806834,1428.82762,-590.4302174,308.8349016,1442.186002,62.63366763,517.6849677
43_Tibia_R,-135.6351656,-106.7801825,346.4724866,-127.721055,-106.0084268,348.7760339,-142.3629967,-111.048442,347.6038474,-126.4980421,-106.1826918,474.2483797,-137.5848007,-124.7836394,474.7146884,-144.5269453,-98.30466603,360.9867958,-131.6789178,-114.5342122,350.8596807,-132.0414214,-115.4831656,474.4815342,-140.6575603,-99.87509901,349.4530192,-123.8861855,-103.7009173,349.1967198,-146.3913379,-112.4741,347.9559797,15.52939893,128.3548721
44_Tibia_R,-529.4977705,-1037.291225,962.9359465,-498.6023617,-1039.178394,972.2302377,-555.7621363,-1053.929781,958.4295796,-493.8279167,-1284.679435,1396.08991,-537.1088311,-1348.476148,1361.35887,-564.2098417,-1036.967761,1028.549784,-514.0532185,-1072.069678,962.6330348,-515.4683739,-1316.577792,1378.72439,-549.104388,-1019.764117,986.4907656,-483.6316507,-1032.198257,978.1565743,-571.4881292,-1059.437012,956.8373077,60.62426424,501.076681
45_Tibia_R,-342.5394051,-892.6042131,203.9598694,-322.5527394,-896.66779,208.5565205,-359.5301853,-900.4682449,196.0533499,-319.4640852,-1171.30855,366.6122572,-347.4631052,-1195.816267,326.518922,-364.9951224,-913.6462422,240.8242396,-332.5481116,-911.9906454,192.5408349,-333.4635952,-1183.562409,346.5655898,-355.2231963,-890.4037286,222.8255738,-312.8679802,-894.6741264,214.1344869,-369.7035469,-903.0386056,193.3799375,39.21867206,324.1534106
46_Tibia_R,-614.8078743,-1570.49252,-484.0138377,-578.9347476,-1580.934053,-480.5156188,-645.3038268,-1575.620759,-503.3610295,-573.3910673,-2149.675838,-481.3055282,-623.6451919,-2151.789525,-565.620013,-655.1125855,-1636.283066,-445.5959669,-596.8749713,-1590.378819,-519.1613491,-598.5181296,-2150.732682,-523.4627706,-637.5734146,-1584.002696,-452.7144348,-561.5520285,-1582.84094,-470.0561266,-663.5635153,-1577.216906,-509.8232602,70.39175063,581.8077171
47_Tibia_R,-604.4351297,-1099.215797,-1184.094233,-569.1672373,-1109.825466,-1186.248484,-634.4165692,-1094.071665,-1203.087566,-563.7170873,-1593.672028,-1466.494147,-613.1233484,-1554.025665,-1539.319712,-644.0598392,-1174.115656,-1183.72499,-586.8047821,-1098.870016,-1223.794718,-588.4202179,-1573.848847,-1502.90693,-626.8165808,-1126.10422,-1164.086595,-552.0777911,-1116.590529,-1178.280481,-652.3681889,-1092.254046,-1209.37421,69.20413457,571.9917354
48_Tibia_R,-107.5416492,-64.03403634,-280.2367485,-101.2667536,-65.47717378,-281.5125251,-112.8759742,-61.55175216,-282.7056935,-100.297058,-115.0994197,-367.7371167,-109.087465,-102.5119529,-375.4314148,-114.5917136,-75.60775637,-286.8429797,-104.4048417,-60.44898371,-286.3231984,-104.6922615,-108.8056863,-371.5842659,-111.5237773,-69.95700152,-279.5458974,-98.22618377,-67.22839918,-280.8866063,-116.0699427,-60.71242341,-283.5126688,12.31286273,101.769291
49_Tibia_R,-277.5731172,218.5222983,-709.0450895,-261.3771379,216.9429243,-713.759227,-291.3414129,227.2571577,-711.3603839,-258.8742802,217.2995522,-970.534452,-281.5629845,255.3658089,-971.488738,-295.7698658,201.1774194,-738.7481686,-269.4767801,234.3906772,-718.0233448,-270.2186323,236.3326806,-971.0115953,-287.8512907,204.3912613,-715.1446561,-253.5291976,212.2206786,-714.6201474,-299.5852869,230.174722,-712.0810117,31.78042849,262.6742247
50_Tibia_R,-1311.638701,481.7927211,-1047.851771,-1285.911036,478.3105552,-1074.707161,-1340.480128,501.0511295,-1037.094572,-1564.198027,479.0968398,-1567.750851,-1608.571652,563.0244094,-1544.561201,-1379.127746,443.5511481,-1084.506716,-1306.07714,516.7789421,-1073.920085,-1586.38484,521.0606246,-1556.156027,-1337.987853,450.6369496,-1048.1677,-1271.875309,467.8990612,-1085.002471,-1357.015327,507.4837052,-1029.382585,70.06872607,579.1378297
51_Tibia_R,-765.1606548,222.0992426,-116.0054606,-761.0795003,220.4940162,-132.6568318,-774.1954126,230.977081,-105.0631869,-985.8214447,220.8564816,-265.3490117,-998.1914538,259.5458367,-245.8633406,-800.5526439,204.4704491,-115.0833021,-768.9488936,238.2273675,-127.6944753,-992.0064495,240.2011591,-255.6061763,-775.7527079,207.7368976,-110.0583046,-757.8490827,215.694473,-140.0021046,-779.0191182,233.9424023,-98.17313101,32.30063532,266.9738822
52_Tibia_R,-1540.27609,474.7013643,602.9789107,-1550.516727,471.2704514,567.7959866,-1545.305661,493.6763141,632.8881182,-2108.315865,472.0451629,562.3589672,-2110.388884,554.7374287,611.6461976,-1604.80082,437.022657,642.5081554,-1559.779775,509.1726341,585.3910386,-2109.352375,513.3912958,587.0025824,-1553.526329,444.0041649,625.3064399,-1552.386926,461.0122008,550.7477127,-1546.871099,500.0142109,650.7964885,69.03740644,570.6136802
53_Tibia_R,-472.767847,217.3743593,591.7827518,-484.8844127,215.8032821,580.1749908,-467.9144334,226.0633328,604.7953741,-707.3349634,216.1580366,705.732007,-696.8722998,254.024324,725.7524178,-489.3057582,200.1205963,622.2323357,-484.5293013,233.1593786,589.2734971,-702.1036319,235.0911803,715.7422126,-472.9103871,203.3175553,603.6709139,-489.5294318,211.1058432,573.8423774,-464.4349533,228.9655706,612.2556948,31.6134799,261.2943472
54_Tibia_R,-200.6318139,384.121348,1323.347791,-229.4304135,381.3451038,1316.289422,-181.7071166,399.4755978,1338.973434,-458.9219616,381.971989,1704.981331,-425.2214313,448.8853518,1726.375301,-199.0369378,353.6322934,1384.558349,-220.8480021,412.0149915,1329.899563,-442.0716967,415.4286704,1715.678317,-190.3461887,359.2816266,1341.666781,-242.1340862,373.0442787,1310.702404,-169.790743,404.6041304,1347.316048,55.86405177,461.7321811
55_Tibia_R,249.6549043,196.5433974,637.7295676,235.0879114,195.1228764,641.9695587,262.0383894,204.3997075,639.8119905,232.8367902,195.4436347,872.918416,253.2434721,229.6811999,873.7767202,266.02143,180.9430607,664.4451208,242.3728942,210.81574,645.804793,243.0401312,212.5624173,873.3475684,258.8993025,183.8336554,643.2156418,228.0293142,190.8755926,642.743888,269.4530972,207.0238241,640.4601378,28.58396334,236.2545376
56_Tibia_R,772.4749191,283.7464258,617.120562,757.3228989,281.6956432,632.936743,789.4607544,295.0884496,610.78523,921.216905,282.1587167,923.3093006,947.3502542,331.5869186,909.6520165,812.2218361,261.2244797,638.7080814,769.1995004,304.3511687,632.4732036,934.2835798,306.8728177,916.4806589,787.9929569,265.3975832,617.3066247,749.0567151,275.5639104,639.0000505,799.1989745,298.8768431,606.2433418,41.26619134,341.0767367
57_Tibia_R,1239.722943,359.8479938,187.9535102,1233.110605,357.2471858,214.9322719,1254.361171,374.2319795,170.2247003,1597.240337,357.8344568,429.9218152,1617.282382,420.5194378,398.3508851,1297.06549,331.2856002,186.4594174,1245.860695,385.9789852,206.8921993,1607.26136,389.1769473,414.1363504,1256.884321,336.5779414,178.3178532,1227.876641,349.4709054,226.8331755,1262.1766,379.0364305,159.061345,52.33389657,432.5544505
58_Tibia_R,658.0526463,202.8068155,-257.6108727,662.4277568,201.3410255,-242.5796608,660.2014316,210.9134895,-270.388993,900.7364608,201.6720058,-240.2568013,901.6221174,237.0006489,-261.3138004,685.6195671,186.7093294,-274.4989646,666.3852119,217.5339872,-250.0968005,901.1792894,219.3363274,-250.7853009,663.71355,189.6920412,-267.1498701,663.2267625,196.9583899,-235.2961213,660.8702339,213.6212311,-278.0399917,29.49487326,243.7834649
59_Tibia_R,947.772003,435.7769532,-1186.364783,972.0624487,432.6273672,-1163.094353,938.0422181,453.1960012,-1212.45158,1418.015796,433.3385542,-1414.802301,1397.040978,509.250246,-1454.937824,980.9260538,401.1878126,-1247.407985,971.3505462,467.4216588,-1181.334404,1407.528388,471.2944001,-1434.870063,948.0577576,407.596853,-1210.197341,981.3744592,423.2102694,-1150.399171,931.0667991,459.0142051,-1227.407511,63.37649921,523.8246813
60_Tibia_R,234.5469092,449.0537826,-1547.048438,268.2136663,445.8082381,-1538.796911,212.4231534,467.0035373,-1565.315462,536.4988014,446.5410928,-1993.19387,497.1014841,524.7655884,-2018.204308,232.6824329,413.4108137,-1618.606118,258.1804715,481.6626084,-1554.70773,516.8001431,485.6533406,-2005.699089,222.5225869,420.0151184,-1568.464097,283.0647864,436.1042293,-1532.265456,198.4924186,472.9990046,-1575.068324,65.30739303,539.7840636
